quick,fast,speedy,rapid,hasty,swift
jumps,leaps,hops,bounds,skips,vaults
lazy,idle,sluggish,lethargic,slow,indolent
dog,canine,pooch,pup,hound,mutt
happy,joyful,content,pleased,cheerful,delighted
sad,unhappy,sorrowful,depressed,mournful,gloomy
angry,mad,furious,irate,annoyed,wrathful
big,large,huge,enormous,gigantic,massive
small,tiny,miniature,compact,petite,little
smart,intelligent,clever,bright,brainy,sharp
strong,powerful,robust,mighty,tough,sturdy
weak,fragile,feeble,frail,delicate,vulnerable
beautiful,pretty,attractive,lovely,gorgeous,stunning
ugly,unsightly,hideous,unattractive,repulsive,homely
easy,simple,effortless,straightforward,uncomplicated,basic
hard,difficult,challenging,tough,complex,arduous
cold,chilly,frosty,frigid,freezing,nippy
hot,warm,heated,scorching,sultry,sweltering
fast,quick,speedy,rapid,swift,hasty
slow,lethargic,sluggish,unhurried,delayed,lazy
rich,wealthy,affluent,prosperous,well-off,loaded
poor,impoverished,needy,destitute,bankrupt,penniless
clean,spotless,immaculate,tidy,neat,pristine
dirty,filthy,grimy,messy,unclean,soiled
loud,noisy,boisterous,rowdy,clamorous,vociferous
quiet,silent,peaceful,calm,muted,soft
bright,luminous,shiny,glowing,vivid,radiant
dark,dim,gloomy,shadowy,dusky,murky
friendly,amiable,kind,affable,warm,cordial
mean,cruel,nasty,unkind,spiteful,vicious
young,juvenile,adolescent,immature,new,infantile
old,aged,ancient,elderly,mature,vintage
strong,powerful,sturdy,robust,tough,mighty
weak,fragile,feeble,frail,vulnerable,delicate
safe,secure,protected,guarded,reliable,harmless
dangerous,risky,perilous,unsafe,hazardous,treacherous
bright,intelligent,clever,smart,brilliant,sharp
dull,boring,tedious,uninteresting,mind-numbing,monotonous
thin,slim,lean,skinny,narrow,svelte
fat,obese,chubby,plump,heavy,overweight
early,prompt,timely,soon,quick,advance
late,delayed,tardy,belated,overdue,behind
clean,tidy,neat,orderly,spotless,immaculate
messy,untidy,disorganized,cluttered,chaotic,dirty
funny,humorous,amusing,comical,hilarious,witty
serious,solemn,grave,earnest,somber,stern
brave,courageous,fearless,valiant,heroic,bold
cowardly,fearful,timid,trembling,afraid,nervous
full,filled,packed,loaded,stuffed,crammed
empty,vacant,void,barren,hollow,devoid
fast,quick,rapid,speedy,swift,hasty
slow,lethargic,sluggish,unhurried,delayed,lazy
bright,vivid,radiant,brilliant,shining,glowing
dull,dim,drab,faded,flat,uninteresting
young,new,fresh,juvenile,infantile,fledgling
old,ancient,vintage,aged,elderly,mature
rich,wealthy,affluent,loaded,well-off,prosperous
poor,impoverished,needy,destitute,penniless,bankrupt
strong,powerful,mighty,robust,tough,sturdy
weak,fragile,feeble,frail,delicate,vulnerable
happy,joyful,content,cheerful,delighted,pleased
sad,unhappy,sorrowful,depressed,gloomy,mournful
bright,sunny,shiny,glowing,luminous,radiant
dark,gloomy,dim,shadowy,murky,dusky
clean,tidy,neat,spotless,immaculate,orderly
dirty,messy,filthy,grimy,soiled,unclean
calm,peaceful,quiet,serene,tranquil,still
noisy,loud,boisterous,rowdy,clamorous,vociferous
fast,quick,rapid,speedy,swift,hasty
slow,lethargic,sluggish,unhurried,delayed,lazy
large,big,huge,enormous,gigantic,massive
small,tiny,miniature,petite,little,compact
hot,warm,heated,scorching,sultry,sweltering
cold,chilly,frosty,frigid,freezing,nippy
brave,courageous,valiant,heroic,bold,fearless
